dataset,seed,method,beta_scale,Delta_I
PubMed,4,PageRank,2.0,0.9911371331045681
PubMed,4,Degree,2.0,0.9948857560024758
PubMed,4,Betweenness,2.0,0.9719480938988387
Computers,0,Ours,0.8,0.017013985435459178
Computers,0,PageRank,0.8,0.25701704257833197
Computers,0,Degree,0.8,0.26253506824325884
Computers,0,Betweenness,0.8,0.2022877049238416
Computers,1,Ours,0.8,-0.04509954713849733
Computers,1,PageRank,0.8,0.2519018581565876
Computers,1,Degree,0.8,0.2561587519377147
Computers,1,Betweenness,0.8,0.22440486642527385
Computers,2,Ours,0.8,-0.022492057243782244
Computers,2,PageRank,0.8,0.2521469304259445
Computers,2,Degree,0.8,0.25781018196443584
Computers,2,Betweenness,0.8,0.21227035822503906
Computers,3,Ours,0.8,-0.037393584090170295
Computers,3,PageRank,0.8,0.1930416431393216
Computers,3,Degree,0.8,0.19607268854845666
Computers,3,Betweenness,0.8,0.17342439819398836
Computers,4,Ours,0.8,0.040673320775689005
Computers,4,PageRank,0.8,0.32061022419064866
Computers,4,Degree,0.8,0.3194861045002396
Computers,4,Betweenness,0.8,0.25250002872869526
Computers,0,Ours,0.9,0.013096192224209149
Computers,0,PageRank,0.9,0.3893136938970407
Computers,0,Degree,0.9,0.3956277484668769
Computers,0,Betweenness,0.9,0.33886139709613344
Computers,1,Ours,0.9,0.008699388831299058
Computers,1,PageRank,0.9,0.3705810421871806
Computers,1,Degree,0.9,0.3729438625355552
Computers,1,Betweenness,0.9,0.33038705626097403
Computers,2,Ours,0.9,0.08389575896781125
Computers,2,PageRank,0.9,0.39779351021981274
Computers,2,Degree,0.9,0.40683824668363155
Computers,2,Betweenness,0.9,0.3520540036442528
Computers,3,Ours,0.9,-0.045395653253491104
Computers,3,PageRank,0.9,0.27813589235237773
Computers,3,Degree,0.9,0.28148646759684637
Computers,3,Betweenness,0.9,0.2600667690971564
Computers,4,Ours,0.9,-0.029583933354545216
Computers,4,PageRank,0.9,0.41036531828866124
Computers,4,Degree,0.9,0.4069107525613766
Computers,4,Betweenness,0.9,0.33363765855666366
Computers,0,Ours,1.0,-0.022509313351545563
Computers,0,PageRank,1.0,0.510928493075716
Computers,0,Degree,1.0,0.5093456763314983
Computers,0,Betweenness,1.0,0.4514585341269286
Computers,1,Ours,1.0,0.152153372585324
Computers,1,PageRank,1.0,0.5441052438152295
Computers,1,Degree,1.0,0.5496455910120419
Computers,1,Betweenness,1.0,0.5133546465048354
Computers,2,Ours,1.0,0.12264541213544038
Computers,2,PageRank,1.0,0.5532745357732584
Computers,2,Degree,1.0,0.5608962959206437
Computers,2,Betweenness,1.0,0.5088389233270438
Computers,3,Ours,1.0,0.010323748265369559
Computers,3,PageRank,1.0,0.445231849517161
Computers,3,Degree,1.0,0.44155052065634176
Computers,3,Betweenness,1.0,0.42253839463171594
Computers,4,Ours,1.0,0.08192705962191014
Computers,4,PageRank,1.0,0.5491808279917704
Computers,4,Degree,1.0,0.5508465327487487
Computers,4,Betweenness,1.0,0.48335677104359015
Computers,0,Ours,1.1,0.198813482670283
Computers,0,PageRank,1.1,0.6842809302386301
Computers,0,Degree,1.1,0.6872077635560613
Computers,0,Betweenness,1.1,0.646611922305862
Computers,1,Ours,1.1,0.23917526851165147
Computers,1,PageRank,1.1,0.6929200330633906
Computers,1,Degree,1.1,0.6971574709243116
Computers,1,Betweenness,1.1,0.6666360286712749
Computers,2,Ours,1.1,0.29120724398448616
Computers,2,PageRank,1.1,0.7146723828148714
Computers,2,Degree,1.1,0.7179236360804381
Computers,2,Betweenness,1.1,0.6744639752985461
Computers,3,Ours,1.1,0.1645084936266226
Computers,3,PageRank,1.1,0.6209911385424489
Computers,3,Degree,1.1,0.6203017959799063
Computers,3,Betweenness,1.1,0.6036868261632501
