node,throughput_raw,delay_raw,loss_raw,txPackets,rxPackets,bytes_,uptime_ratio,degree_centrality,closeness,betweenness,clustering_coeff,k_shell,throughput,delay,loss,soft_label,run_split,mask,true_label
106,421.7680808080808,0.383748375812094,0.5355153203342619,8616,4002,3131628,1.0,0.0257731958762886,0.1747747747747747,0.0010958960440825,0.1,4,20.53699300793767,0.7226747416510029,0.4644846796657381,0.17577818,val,0,0.17577818
107,0.0,0.0,1.0,9588,0,0,1.0,0.0206185567010309,0.1736794986571172,0.0004292256776098,0.0,4,0.001,1.0,0.0,0.114550374,val,0,0.114550374
108,0.0,0.0,1.0,12505,0,0,1.0,0.0309278350515463,0.1749323715058611,0.0011935786320167,0.0,4,0.001,1.0,0.0,0.15865456,val,0,0.15865456
109,0.0,0.0,1.0,7032,0,0,1.0,0.0206185567010309,0.1735241502683363,0.0005144483978413,0.1666666666666666,4,0.001,1.0,0.0,0.12114775,val,0,0.12114775
110,0.0,0.0,1.0,6464,0,0,1.0,0.0412371134020618,0.2050739957716701,0.0130195558644893,0.0,4,0.001,1.0,0.0,0.25186095,val,0,0.25186095
111,0.0,0.0,1.0,11437,0,0,1.0,0.0206185567010309,0.1733690795352993,0.0005329724789155,0.1666666666666666,4,0.001,1.0,0.0,0.120925575,val,0,0.120925575
112,307.9278114478114,0.1612657580919932,0.5454310789881259,11622,5283,2286364,1.0,0.0412371134020618,0.204857444561774,0.0093663461632587,0.0714285714285714,4,17.547872020498993,0.8611293263680148,0.454568921011874,0.32870907,val,0,0.32870907
113,559.3497643097643,0.2999832082886745,0.5205960435043248,11677,5598,4153172,1.0,0.0309278350515463,0.2031413612565445,0.0055525456091664,0.1333333333333333,4,23.650576426585552,0.7692407052829715,0.4794039564956752,0.27565894,val,0,0.27565894
114,869.5321212121211,0.0829860192960514,0.7514929514929515,45045,11194,6456276,1.0,0.0360824742268041,0.2046413502109704,0.0035265992546586,0.1904761904761904,4,29.487830069574823,0.9233729542049002,0.2485070485070485,0.35254598,val,0,0.35254598
115,11.0610101010101,0.2367556313993174,0.831744573331802,8707,1465,82128,1.0,0.0309278350515463,0.2027168234064786,0.0103992607170855,0.1333333333333333,4,3.3258098413785024,0.8085671693029268,0.168255426668198,0.1706124,val,0,0.1706124
116,630.5454545454545,1.4085928489042676,0.7221331965899622,31202,8670,4681800,1.0,0.0360824742268041,0.2039957939011566,0.0064323228777585,0.0476190476190476,4,25.110664179695732,0.4151801747875015,0.2778668034100378,0.13205408,val,0,0.13205408
117,1005.4092929292927,0.5121156310057656,0.2888922633057474,13171,9366,7465164,1.0,0.0463917525773195,0.2057264050901378,0.0057602453988864,0.1111111111111111,4,31.70818969807789,0.661325086187266,0.7111077366942525,0.36206335,val,0,0.36206335
118,311.8453872053872,0.37535302135393,0.78419452887538,10199,2201,2315452,1.0,0.0257731958762886,0.2431077694235588,0.0342545041092127,0.1,4,17.6591446057103,0.7270860531615195,0.21580547112462,0.25189883,val,0,0.25189883
119,1295.5835690235688,0.3319537797800855,-0.0039095438865465,13045,13096,9619708,1.0,0.0463917525773195,0.2050739957716701,0.0076107188160497,0.0555555555555555,4,35.994215785644904,0.7507768026042966,1.0,0.45193842,val,0,0.45193842
